file	lines	omega	decide	bv_decide	simp	norm_num	decision_total
Vsa/Sim/DecodeTable/Batch03Part12.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part13.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part14.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part15.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part16.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part17.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part18.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part19.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part20.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part21.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part22.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part23.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part24.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part25.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part26.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part27.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part28.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part29.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part30.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part31.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part32.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part01.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part02.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part03.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part04.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part05.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part06.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part07.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part08.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part09.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part10.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part11.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part12.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part13.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part14.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part15.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part16.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part17.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part18.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part19.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part20.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part21.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part22.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part23.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part24.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part25.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part26.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part27.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part28.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part29.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part30.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part31.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch04Part32.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part01.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch05Part02.lean	484	16	48	0	48	0	64
